,0,1,2,3,4,5
45,"Game 1 Mon, May 2 Dallas Mavericks 114@ Phoenix Suns 121 Game 2 Wed, May 4 Dallas Mavericks 109@ Phoenix Suns 129 Game 3 Fri, May 6 Phoenix Suns 94@ Dallas Mavericks 103 Game 4 Sun, May 8 Phoenix Suns 101@ Dallas Mavericks 111 Game 5 Tue, May 10 Dallas Mavericks 80@ Phoenix Suns 110 Game 6 Thu, May 12 Phoenix Suns 86@ Dallas Mavericks 113 Game 7 Sun, May 15 Dallas Mavericks 123@ Phoenix Suns 90","Game 1 Mon, May 2 Dallas Mavericks 114@ Phoenix Suns 121 Game 2 Wed, May 4 Dallas Mavericks 109@ Phoenix Suns 129 Game 3 Fri, May 6 Phoenix Suns 94@ Dallas Mavericks 103 Game 4 Sun, May 8 Phoenix Suns 101@ Dallas Mavericks 111 Game 5 Tue, May 10 Dallas Mavericks 80@ Phoenix Suns 110 Game 6 Thu, May 12 Phoenix Suns 86@ Dallas Mavericks 113 Game 7 Sun, May 15 Dallas Mavericks 123@ Phoenix Suns 90","Game 1 Mon, May 2 Dallas Mavericks 114@ Phoenix Suns 121 Game 2 Wed, May 4 Dallas Mavericks 109@ Phoenix Suns 129 Game 3 Fri, May 6 Phoenix Suns 94@ Dallas Mavericks 103 Game 4 Sun, May 8 Phoenix Suns 101@ Dallas Mavericks 111 Game 5 Tue, May 10 Dallas Mavericks 80@ Phoenix Suns 110 Game 6 Thu, May 12 Phoenix Suns 86@ Dallas Mavericks 113 Game 7 Sun, May 15 Dallas Mavericks 123@ Phoenix Suns 90",,,
46,Game 1,"Mon, May 2",Dallas Mavericks,114.0,@ Phoenix Suns,121.0
47,Game 2,"Wed, May 4",Dallas Mavericks,109.0,@ Phoenix Suns,129.0
48,Game 3,"Fri, May 6",Phoenix Suns,94.0,@ Dallas Mavericks,103.0
49,Game 4,"Sun, May 8",Phoenix Suns,101.0,@ Dallas Mavericks,111.0
50,Game 5,"Tue, May 10",Dallas Mavericks,80.0,@ Phoenix Suns,110.0
51,Game 6,"Thu, May 12",Phoenix Suns,86.0,@ Dallas Mavericks,113.0
52,Game 7,"Sun, May 15",Dallas Mavericks,123.0,@ Phoenix Suns,90.0
53,Western Conference Semifinals,Golden State Warriors over Memphis Grizzlies  (4-2),Series Stats,,,
54,"Game 1 Sun, May 1 Golden State Warriors 117@ Memphis Grizzlies 116 Game 2 Tue, May 3 Golden State Warriors 101@ Memphis Grizzlies 106 Game 3 Sat, May 7 Memphis Grizzlies 112@ Golden State Warriors 142 Game 4 Mon, May 9 Memphis Grizzlies 98@ Golden State Warriors 101 Game 5 Wed, May 11 Golden State Warriors 95@ Memphis Grizzlies 134 Game 6 Fri, May 13 Memphis Grizzlies 96@ Golden State Warriors 110","Game 1 Sun, May 1 Golden State Warriors 117@ Memphis Grizzlies 116 Game 2 Tue, May 3 Golden State Warriors 101@ Memphis Grizzlies 106 Game 3 Sat, May 7 Memphis Grizzlies 112@ Golden State Warriors 142 Game 4 Mon, May 9 Memphis Grizzlies 98@ Golden State Warriors 101 Game 5 Wed, May 11 Golden State Warriors 95@ Memphis Grizzlies 134 Game 6 Fri, May 13 Memphis Grizzlies 96@ Golden State Warriors 110","Game 1 Sun, May 1 Golden State Warriors 117@ Memphis Grizzlies 116 Game 2 Tue, May 3 Golden State Warriors 101@ Memphis Grizzlies 106 Game 3 Sat, May 7 Memphis Grizzlies 112@ Golden State Warriors 142 Game 4 Mon, May 9 Memphis Grizzlies 98@ Golden State Warriors 101 Game 5 Wed, May 11 Golden State Warriors 95@ Memphis Grizzlies 134 Game 6 Fri, May 13 Memphis Grizzlies 96@ Golden State Warriors 110",,,
